time,AUV5_Tau_u,AUV5_Tau_v,AUV5_Tau_w,AUV5_Tau_q,AUV5_Tau_r,AUV6_Tau_u,AUV6_Tau_v,AUV6_Tau_w,AUV6_Tau_q,AUV6_Tau_r,AUV7_Tau_u,AUV7_Tau_v,AUV7_Tau_w,AUV7_Tau_q,AUV7_Tau_r,AUV8_Tau_u,AUV8_Tau_v,AUV8_Tau_w,AUV8_Tau_q,AUV8_Tau_r,AUV9_Tau_u,AUV9_Tau_v,AUV9_Tau_w,AUV9_Tau_q,AUV9_Tau_r
7,53.83092204,-252.3074272,-300,-131.6270931,30.31052618,28.28306943,-71.9693787,-300,-88.13909005,-6.62636552,224.6091479,300,7.265236095,-270.3397102,194.4016707,-300,300,-244.7049746,-300,215.4553667,39.95825683,300,300,-300,174.9741523
7.1,23.75253107,-294.3670516,-300,-98.36471841,19.75650349,75.65467669,-24.52570343,-300,-55.78245174,-5.948835702,119.4186473,300,40.45142572,-235.2823012,186.4843465,-300,300,-74.96406179,-283.6307641,225.7852506,171.9912519,300,300,-296.3153441,162.3951781
7.2,22.08404582,-265.0976506,-300,-85.60703359,8.837022982,66.69218592,-28.18669571,-300,-43.53865102,-6.038969301,23.58874232,300,83.01429716,-220.1123742,178.729919,-186.4918982,300,-29.60579141,-269.0638712,237.0512546,292.8275877,300,300,-299.2274268,150.9818976
7.3,24.96493639,-163.9467404,-300,-71.49667098,-2.291550335,61.5083092,-31.37946562,-300,-29.94656,-5.809426058,-17.63369387,300,172.027628,-203.1876001,170.834377,-48.95441645,300,-11.73453351,-252.5954038,249.2665967,300,300,300,-297.5793653,140.4534979
7.4,25.03249306,-30.40959131,-300,-57.37020677,-13.43358781,58.32455824,-32.05199753,-300,-16.73264817,-5.261329543,-36.78893488,300,164.0384647,-185.5813947,162.552897,17.49566347,300,30.78546708,-235.3664201,262.4118206,300,300,300,-293.2069582,130.5417168
7.5,19.9677217,11.84126591,-300,-44.14192252,-24.35984169,57.20454323,-31.66485234,-300,-4.322618566,-4.672605996,-42.99033173,300,44.40322816,-167.6889889,153.6870372,62.5037226,300,100.3936877,-217.8098278,276.4269444,300,300,300,-287.0308979,121.0258637
7.6,23.34884011,37.15072582,-261.3225374,-31.83412907,-34.84615541,71.56085256,-31.51634534,-300,7.413620299,-4.065424307,-0.067657398,300,67.11209388,-149.7291059,144.0480009,76.79457231,300,70.30594736,-200.0845149,291.2036468,300,300,300,-272.0731188,111.7141461
7.7,43.49750153,-48.81264253,-237.2397403,-20.19864728,-44.85612458,60.52046373,46.94732134,-300,18.67973794,-4.984283405,5.574399837,300,20.64013831,-132.4111928,133.40926,80.16762038,300,53.68602162,-182.2459671,300,300,300,300,-254.7114677,102.4345121
7.8,41.86161138,-25.19903989,-205.7159368,-9.008569942,-54.266585,64.1199898,57.49137354,-300,29.63207912,-12.48981244,16.99578057,300,-48.62949564,-116.0354653,110.9474846,38.74231167,300,36.6348732,-164.3120134,294.8912337,272.8363987,300,300,-237.1865146,83.85393178
7.9,42.60677794,-13.62274316,-199.8297221,1.889574817,-39.3944781,66.10985077,61.23541176,-300,40.36983659,-15.55723878,27.78585963,300,-131.9776794,-100.3875444,96.53999389,4.146088617,300,29.14522824,-146.3157289,282.9142274,170.7051147,300,300,-219.5357407,73.46051734
8,43.66634348,-13.95184709,-191.0672681,12.58774476,-23.3722233,68.50401099,64.01681773,-300,50.95050136,-16.39192003,33.57518535,300,-238.0233081,-85.46428007,82.65893412,-24.74703749,300,31.86153556,-128.8102087,270.6064726,63.58492692,300,300,-201.7771999,64.72186408
8.1,43.17161214,-23.11061906,-184.8166967,23.13752632,-7.182996067,73.49778542,57.99891356,-300,61.40567402,-16.74410615,36.91426251,300,-249.8846812,-71.75231912,68.80987098,-45.58173376,300,39.58972382,-112.2517519,257.2124206,-6.534111551,231.6878622,300,-183.9195457,56.62690747
8.2,43.62410617,-45.18626807,-180.7856885,33.56668228,7.381114423,66.22352366,65.06884774,-300,71.75212867,-16.76603052,36.59315864,300,-235.084234,-59.16417703,55.52112143,-55.95041334,300,52.1076873,-96.47705632,242.5800181,-54.51815332,64.72560986,300,-165.9669079,48.59985028
8.3,42.12544483,-57.49744433,-172.6660734,43.88973341,18.98890278,63.5616421,61.70606314,-300,81.99855196,-16.30916623,33.44190925,261.1577097,-215.7661816,-47.36898382,43.06249487,-54.79988571,300,57.00590296,-81.21444903,226.7871242,-71.33072397,-82.83092313,261.0319167,-148.0302589,40.3147527
8.4,39.70214261,-67.74867344,-165.4873724,54.11411775,30.17197428,59.97129568,60.34405868,-300,92.14936022,-14.27414977,28.10480308,206.050831,-210.4621312,-36.0864705,31.29671778,-46.45018619,300,54.73146303,-66.25333209,210.5404163,-69.45152752,-212.253691,196.3026137,-130.8011902,31.60058203
8.5,37.87818983,-75.05484559,-155.8237032,64.24358521,25.02592116,56.28015012,58.9268513,-300,102.2067669,-13.41339282,23.36471691,145.0006466,-203.4635829,-25.13195316,20.04502497,-34.06276218,300,45.14826469,-51.45955585,194.3598571,-47.73518007,-300,89.88501953,-114.5047126,22.46074126
8.6,33.9038254,-79.91964169,-146.6152698,74.28000275,9.792212726,53.57483039,58.36051334,-300,112.1718689,-12.87805996,19.74349,59.61421674,-260.6530613,-14.39621962,9.179193349,-21.75673116,300,28.36589272,-36.75519918,178.1972999,-27.52891438,-300,-59.68219726,-98.90923371,12.96306662
8.7,30.46853988,-79.19044001,-136.4223381,67.4594905,-3.54044972,51.16537657,57.87223142,-300,101.4948046,-12.48993724,17.63585458,-16.57751697,-237.2074361,-3.81848866,-1.382346202,5.673279416,300,-13.36439041,-22.09812359,161.9274509,47.52618233,-268.3908483,-200.7395395,-83.75461024,3.212097983
8.8,26.50761585,-74.40519646,-127.310475,50.27209819,-9.845952874,49.00381771,59.73056902,-300,84.23663644,-12.99608441,17.22993884,-104.5661293,-225.6653566,6.6337777,-11.69493866,14.47091145,300,-54.37343185,-7.649964618,145.5414823,62.10015498,-229.8058284,-300,-68.85427096,-6.666437452
8.9,24.86346598,-69.16441649,-112.3908341,32.99324407,-14.38939798,47.83952945,57.73851248,-300,66.88709135,-13.17184599,19.3729648,-191.4959559,-223.1640936,16.97753322,-21.80356982,18.79185386,300,-87.32287284,5.91888706,129.2124481,71.14526364,-160.1650426,-300,-54.09327588,-16.5358813
9,23.31307238,-63.11024134,-95.81501342,15.62303345,-16.3175848,46.79680395,60.02859514,-300,49.44623044,-13.20564542,21.00076823,-156.0831656,-219.7879071,27.22143743,-31.75138184,21.49127473,300,-114.0330799,18.48180815,113.0753672,70.42940496,-29.64944378,-300,-39.40609154,-26.25500584
9.1,20.59058036,-57.93090864,-71.26745255,-1.838483137,-16.06019199,44.87740575,60.28181847,-253.7923526,31.914083,-13.54000259,23.5931102,-86.38243727,-214.4796247,37.36984633,-41.58259842,21.8340845,300,-133.4520025,30.28713721,97.2439195,63.92654909,51.11796298,-300,-24.75707208,-26.46292992
9.2,20.54422103,-55.95132632,-41.17457041,-31.76061414,-14.96579405,43.15674663,62.48241445,-209.2931767,1.921330387,-13.62114133,25.88294702,-40.03247429,-203.7859837,35.0555922,-51.34196811,21.81654546,300,-146.9796869,29.21847687,81.80311778,54.68024619,88.53858619,-300,-22.49676567,-9.571021453
9.3,20.29425824,-56.54348268,-6.460623923,-50.49473526,-11.49199614,40.97711685,60.94199613,-162.5827628,-16.88340798,-13.91193536,26.94678534,-24.31066805,-186.883875,27.70435324,-61.07223119,20.70018179,300,-158.577086,39.10119494,66.80525359,44.67351709,127.5249449,-300,-8.96688359,6.454573833
9.4,20.4906468,-56.12705306,30.1627079,-68.56357624,-7.237659189,39.42338225,62.91736334,-76.15355315,-35.02286413,-14.13823465,26.59637048,-5.074238544,-175.4655159,10.20191435,-56.96802262,59.07284005,300,-188.0916907,49.52014916,52.45588714,47.82099271,5.496661431,-300,5.231295812,16.99581128
