time,AUV5_GJQ_Error,AUV6_GJQ_Error,AUV7_GJQ_Error,AUV8_GJQ_Error,AUV9_GJQ_Error
128.2,0.005760306,0.006228485,0.005926611,0.006057557,0.006166657
128.3,0.005581531,0.006359599,0.00574001,0.006036252,0.005957687
128.4,0.005420538,0.006558704,0.005562622,0.006001903,0.005738562
128.5,0.005284245,0.006823974,0.005400525,0.005958953,0.005513123
128.6,0.005223986,0.006790553,0.00536906,0.006230137,0.005546032
128.7,0.005195439,0.006813946,0.005363606,0.006494982,0.005591987
128.8,0.005191716,0.006904623,0.005374378,0.006737987,0.005635112
128.9,0.00520928,0.007057372,0.00539781,0.006958733,0.005672159
129,0.005246294,0.007267137,0.005432165,0.007158071,0.005701736
129.1,0.005302664,0.007529405,0.005477537,0.007337955,0.005724235
129.2,0.005379995,0.007840452,0.005535801,0.007501353,0.005741796
129.3,0.005481439,0.008197452,0.005610496,0.007652199,0.005758293
129.4,0.005628511,0.008475554,0.005748729,0.009185779,0.007521699
129.5,0.005827012,0.008907643,0.006372495,0.00951602,0.00740417
129.6,0.006042728,0.008821231,0.006194441,0.009306016,0.007284654
129.7,0.005857691,0.00917553,0.006023781,0.009081359,0.007159612
129.8,0.005685021,0.008913289,0.005858721,0.008839302,0.007026704
129.9,0.005525158,0.008693427,0.005699048,0.008577894,0.006884885
130,0.005380424,0.008519996,0.005546364,0.008296055,0.006734521
130.1,0.005255246,0.008397886,0.005404347,0.007993695,0.00657755
130.2,0.005156299,0.008332628,0.00527898,0.007671897,0.006417688
130.3,0.005131338,0.008053774,0.005276424,0.007564682,0.006458206
130.4,0.005143969,0.00778155,0.005311917,0.007487101,0.006532354
130.5,0.0051816,0.007561394,0.005363356,0.007397972,0.006603342
130.6,0.005239945,0.007395327,0.005426662,0.00729416,0.006668309
130.7,0.005316579,0.007285806,0.005499738,0.00717372,0.006726042
130.8,0.005410941,0.00723559,0.005582403,0.007035944,0.006776883
130.9,0.005524222,0.007247541,0.005676277,0.006881457,0.006822672
131,0.005659185,0.007324395,0.005784625,0.006712374,0.006866713
131.1,0.005835479,0.007333798,0.005950699,0.006648576,0.00699397
131.2,0.006060079,0.007189903,0.006194295,0.006765851,0.007249737
131.3,0.006299161,0.007110939,0.00644399,0.006871188,0.00749626
131.4,0.006547373,0.007095626,0.006695413,0.006961568,0.00835295
131.5,0.006801631,0.007142417,0.006946333,0.007035533,0.008262187
131.6,0.006933641,0.007125882,0.007071603,0.006966529,0.008055016
131.7,0.007440903,0.007049816,0.007560155,0.006754549,0.007725904
131.8,0.00713494,0.007039168,0.0072434,0.006522492,0.007379208
131.9,0.006837575,0.007098213,0.006927934,0.006272578,0.007016303
132,0.006588194,0.006879259,0.006702882,0.006314108,0.006843283
132.1,0.00635582,0.006703831,0.006492957,0.006365687,0.006680416
132.2,0.006135267,0.006594897,0.006289267,0.006403649,0.00651043
132.3,0.005924695,0.006552948,0.00608936,0.006425304,0.006329781
132.4,0.005723789,0.006578064,0.00589224,0.006429534,0.006136191
132.5,0.00553406,0.0066699,0.005698637,0.006416749,0.005928805
132.6,0.00535916,0.006827726,0.005511312,0.006388892,0.005708417
132.7,0.005205174,0.007050527,0.0053354,0.006349509,0.005477801
132.8,0.0051066,0.007133692,0.005242953,0.006479823,0.005396328
132.9,0.005060329,0.007126009,0.005223919,0.006733736,0.005437706
133,0.005040582,0.007185123,0.005222477,0.006967427,0.005476667
133.1,0.00504313,0.007306311,0.005234264,0.007179664,0.005509089
133.2,0.005065536,0.007484958,0.00525687,0.007370629,0.005532872
133.3,0.005107258,0.007716916,0.005289879,0.007541732,0.005547852
133.4,0.005169633,0.007998739,0.005334842,0.009012247,0.007270935
133.5,0.005255753,0.008622782,0.005840206,0.009132075,0.006922154
133.6,0.005379118,0.008641814,0.005497973,0.008733097,0.006601275
133.7,0.005097061,0.00887972,0.005251109,0.008502048,0.006453115
133.8,0.004828604,0.008485051,0.005012347,0.008256308,0.006301059
133.9,0.004570303,0.008128221,0.004777312,0.007991168,0.00614046
134,0.004320308,0.007812408,0.004543083,0.007702549,0.005967955
134.1,0.004078912,0.00754213,0.00430862,0.007387001,0.005781592
134.2,0.003849252,0.007323253,0.004075308,0.007041716,0.005581014
134.3,0.003638153,0.007162859,0.003847699,0.006664562,0.005367726
134.4,0.003457028,0.007068871,0.003634471,0.006254172,0.005145504
134.5,0.00338345,0.00670452,0.003600213,0.006112282,0.005180572
134.6,0.003361719,0.006356698,0.003613223,0.005990703,0.005244637
134.7,0.003376867,0.006066707,0.003648314,0.005851251,0.005303369
134.8,0.003422806,0.005839914,0.003699672,0.005689219,0.005353344
134.9,0.00349597,0.005682478,0.003764437,0.005501093,0.005393264
135,0.003595457,0.005600776,0.003842637,0.005284581,0.005423838
135.1,0.003722843,0.005600613,0.003936951,0.005038722,0.005447727
135.2,0.003881755,0.005686382,0.004052353,0.004764136,0.005469527
135.3,0.004112588,0.005575298,0.004282818,0.004734119,0.005658374
135.4,0.004389334,0.005372069,0.004578079,0.004853062,0.006727734
135.5,0.004677623,0.005252644,0.004873195,0.004952065,0.006593193
135.6,0.004971007,0.005218583,0.005163907,0.005027889,0.00644951
135.7,0.005893761,0.005269482,0.006057259,0.005079371,0.006294291
135.8,0.005740793,0.005402984,0.005900962,0.005107226,0.006126649
135.9,0.005603036,0.005615212,0.005751611,0.005113989,0.005947385
136,0.005485688,0.005901476,0.005613715,0.005104074,0.00575926
136.1,0.005413722,0.006086714,0.005537633,0.005239677,0.005671664
136.2,0.00539881,0.00609542,0.005548622,0.005583591,0.005741554
136.3,0.005409076,0.006183091,0.005576084,0.005893921,0.005808222
136.4,0.005439854,0.006342605,0.005615389,0.006171724,0.005867567
136.5,0.005488345,0.006566712,0.005663908,0.006419104,0.00591752
136.6,0.00555367,0.006848767,0.005721001,0.006639097,0.005957914
136.7,0.005636823,0.007183213,0.005787947,0.006835632,0.005990415
136.8,0.005740532,0.007565789,0.00586783,0.007013531,0.006018478
136.9,0.005877092,0.007927535,0.005985437,0.00723432,0.006095618
137,0.006070362,0.008080429,0.006199511,0.007655574,0.00636238
137.1,0.006280218,0.008290061,0.006421546,0.008045392,0.006617001
137.2,0.006500942,0.008549153,0.006646717,0.008404951,0.00685692
137.3,0.006729163,0.008851638,0.006872458,0.008736199,0.00708143
137.4,0.006798802,0.009068646,0.006936577,0.010074045,0.008537964
137.5,0.00679994,0.009534448,0.007279134,0.010163136,0.008210874
137.6,0.006818905,0.009514062,0.006928861,0.00974162,0.007866431
137.7,0.006487391,0.009890393,0.006581582,0.009306782,0.007517896
137.8,0.006201959,0.009446353,0.006325164,0.00905656,0.00734542
137.9,0.005927512,0.009035767,0.006074693,0.00879106,0.007168126
138,0.005660621,0.008660128,0.005826046,0.008505492,0.006981558
138.1,0.005399235,0.008322137,0.005576394,0.008195653,0.006782413
138.2,0.005143078,0.008025862,0.005324512,0.007857929,0.006568663
138.3,0.004894128,0.007776826,0.005071179,0.007489285,0.006339708
