time,AUV1_x,AUV1_y,AUV1_z,AUV2_x,AUV2_y,AUV2_z,AUV3_x,AUV3_y,AUV3_z,AUV4_x,AUV4_y,AUV4_z,AUV5_x,AUV5_y,AUV5_z,AUV6_x,AUV6_y,AUV6_z,AUV7_x,AUV7_y,AUV7_z,AUV8_x,AUV8_y,AUV8_z,AUV9_x,AUV9_y,AUV9_z
2.9,1.74,4.555108401,10.275,1.74,28.80381971,-31.725,22.74,-7.569247252,-31.725,-19.26,-7.569247252,-31.725,-3.876863971,0.731664382,1.110950268,-9.047501866,-1.469489949,-10.3505333,1.918922073,4.12273015,-9.992635141,12.70334266,-3.513639916,-19.34603697,-4.183007701,-8.241704008,-24.3014121
3,1.8,4.712166521,10.25,1.8,28.96087783,-31.75,22.8,-7.412189132,-31.75,-19.2,-7.412189132,-31.75,-3.762010219,0.912683039,1.059051331,-8.906886469,-1.25326748,-10.48428561,2.066755438,4.384027856,-10.25984888,12.77504536,-3.317443552,-19.45644071,-4.059202098,-8.054942925,-24.36347538
3.1,1.86,4.869223159,10.225,1.86,29.11793446,-31.775,22.86,-7.255132494,-31.775,-19.14,-7.255132494,-31.775,-3.642619529,1.089275387,0.996339496,-8.749731835,-1.027242128,-10.63679188,2.220687908,4.6496783,-10.55599137,12.83450396,-3.100976805,-19.57959211,-3.930859893,-7.847436901,-24.45125175
3.2,1.92,5.026278263,10.2,1.92,29.27498957,-31.8,22.92,-7.09807739,-31.8,-19.08,-7.09807739,-31.8,-3.524298717,1.267239042,0.922267209,-8.575441804,-0.793559555,-10.81029451,2.38051791,4.917336621,-10.88260198,12.88191427,-2.864180569,-19.7185812,-3.797703642,-7.621849774,-24.56702053
3.3,1.98,5.183331786,10.175,1.98,29.43204309,-31.825,22.98,-6.941023867,-31.825,-19.02,-6.941023867,-31.825,-3.408386321,1.451377133,0.83620876,-8.38630536,-0.554955589,-11.00648002,2.547278953,5.18482968,-11.24004668,12.91834467,-2.609323956,-19.87592643,-3.659061154,-7.380651836,-24.71073322
3.4,2.04,5.340383678,10.15,2.04,29.58909498,-31.85,23.04,-6.783971975,-31.85,-18.96,-6.783971975,-31.85,-3.293917279,1.644388558,0.73739616,-8.196039445,-0.318585065,-11.22313467,2.735622303,5.455020139,-11.61494472,12.95133562,-2.339308138,-20.05390057,-3.513878899,-7.126128011,-24.88182668
3.5,2.1,5.497433889,10.125,2.1,29.74614519,-31.875,23.1,-6.626921764,-31.875,-18.9,-6.626921764,-31.875,-3.179248729,1.846359896,0.624867473,-8.015066705,-0.09072025,-11.45697763,2.950825222,5.723507442,-12.00056261,12.98930472,-2.056956467,-20.25468903,-3.360970392,-6.860714214,-25.08046476
3.6,2.16,5.65448237,10.1,2.16,29.90319368,-31.9,23.16,-6.469873283,-31.9,-18.84,-6.469873283,-31.9,-3.064422292,2.054290776,0.497787173,-7.849267988,0.12502341,-11.70496889,3.192281936,5.9849971,-12.39449461,13.03559576,-1.76447593,-20.48038665,-3.201784125,-6.590103087,-25.30563271
3.7,2.22,5.811529071,10.075,2.22,30.06024038,-31.925,23.22,-6.312826582,-31.925,-18.78,-6.312826582,-31.925,-2.949684164,2.26510982,0.355643493,-7.699792368,0.326755302,-11.96363914,3.45914215,6.234310306,-12.79472161,13.09160623,-1.46410577,-20.73296725,-3.040594437,-6.322451825,-25.5542635
3.8,2.28,5.968573943,10.05,2.28,30.21728525,-31.95,23.28,-6.15578171,-31.95,-18.72,-6.15578171,-31.95,-2.836152117,2.474977577,0.198588663,-7.565412583,0.515747871,-12.22724289,3.749887823,6.466269969,-13.1992639,13.15693959,-1.158182628,-21.01425871,-2.880919237,-6.063699448,-25.82313432
3.9,2.34,6.125616937,10.025,2.34,30.37432824,-31.975,23.34,-5.998738716,-31.975,-18.66,-5.998738716,-31.975,-2.725583263,2.68010363,0.028173922,-7.443152585,0.695122646,-12.49298246,4.058730815,6.675338652,-13.60345174,13.22961033,-0.849110104,-21.32592187,-2.725370528,-5.817630111,-26.10916904
4,2.4,6.282658003,10,2.4,30.53136931,-32,23.4,-5.84169765,-32,-18.6,-5.84169765,-32,-2.619511994,2.87827227,-0.151748971,-7.326027689,0.872954785,-12.75381008,4.376511431,6.858027483,-14.00135388,13.30736949,-0.539433692,-21.6694237,-2.575078164,-5.586496211,-26.40984185
4.1,2.46,6.439697091,9.975,2.46,30.6884084,-32.025,23.46,-5.684658562,-32.025,-18.54,-5.684658562,-32.025,-2.518313111,3.069556379,-0.335376334,-7.210638173,1.052461122,-13.00202295,4.695190043,7.013229216,-14.38864654,13.38862343,-0.230302933,-22.04313537,-2.425118408,-5.375575294,-26.72146689
4.2,2.52,6.596734153,9.95,2.52,30.84544546,-32.05,23.52,-5.5276215,-32.05,-18.48,-5.5276215,-32.05,-2.423156241,3.253937615,-0.51889556,-7.096741472,1.229801637,-13.23488761,5.007781322,7.14151777,-14.76201999,13.47422109,0.087468295,-22.42822929,-2.265797906,-5.180502158,-27.03085944
4.3,2.58,6.753769139,9.925,2.58,31.00248045,-32.075,23.58,-5.370586514,-32.075,-18.42,-5.370586514,-32.075,-2.339444568,3.428318776,-0.697018635,-6.989551545,1.396784558,-13.44434573,5.309690234,7.244803397,-15.12004459,13.563311,0.405822761,-22.81297147,-2.09999644,-5.001980152,-27.33314738
4.4,2.64,6.910802,9.9,2.64,31.15951331,-32.1,23.64,-5.213553653,-32.1,-18.36,-5.213553653,-32.1,-2.271387958,3.590683323,-0.863887092,-6.891268437,1.55400852,-13.63007371,5.59856999,7.326472339,-15.46297748,13.65606741,0.717935702,-23.19237449,-1.930115204,-4.840090174,-27.62782883
4.5,2.7,7.067832685,9.875,2.7,31.31654399,-32.125,23.7,-5.056522968,-32.125,-18.3,-5.056522968,-32.125,-2.21827797,3.741456609,-1.015940341,-6.799982385,1.700495846,-13.79207155,5.872443107,7.390802709,-15.79099213,13.75281281,1.019948294,-23.5639065,-1.758298491,-4.694266333,-27.91469711
4.6,2.76,7.224861146,9.85,2.76,31.47357245,-32.15,23.76,-4.899494507,-32.15,-18.24,-4.899494507,-32.15,-2.175391262,3.880279323,-1.149527348,-6.711620896,1.834223168,-13.93033926,6.129962413,7.44192477,-16.10420088,13.85497245,1.310216443,-23.92711022,-1.586383766,-4.562882356,-28.19408705
4.7,2.82,7.381887333,9.825,2.82,31.63059864,-32.175,23.82,-4.74246832,-32.175,-18.18,-4.74246832,-32.175,-2.138747513,4.0112905,-1.259748029,-6.624924248,1.954570727,-14.04487684,6.370294961,7.483685172,-16.40267272,13.96473143,1.589025617,-24.28328965,-1.415503053,-4.44399844,-28.46670247
4.8,2.88,7.538911197,9.8,2.88,31.7876225,-32.2,23.88,-4.585444456,-32.2,-18.12,-4.585444456,-32.2,-2.105569935,4.1373178,-1.349672341,-6.539289508,2.061583156,-14.13592572,6.59299387,7.519599336,-16.6864462,14.08424602,1.857953526,-24.6346984,-1.246103136,-4.335761343,-28.73346967
4.9,2.94,7.695932688,9.775,2.94,31.94464399,-32.225,23.94,-4.428422965,-32.225,-18.06,-4.428422965,-32.225,-2.064147267,4.264525779,-1.431012686,-6.451770348,2.161812365,-14.20947952,6.797882386,7.552825161,-16.95553876,14.21544504,2.118926099,-24.98373171,-1.078140967,-4.236500234,-28.99543569
5,3,7.852951757,9.75,3,32.10166306,-32.25,24,-4.271403896,-32.25,-18,-4.271403896,-32.25,-2.00796166,4.395916003,-1.510379713,-6.360051408,2.27202152,-14.2789855,6.984951476,7.58615188,-17.20995349,14.35960025,2.373507653,-25.332303,-0.911278757,-4.14475604,-29.25367108
5.1,3.06,8.009968355,9.725,3.06,32.25867966,-32.275,24.06,-4.114387298,-32.275,-17.94,-4.114387298,-32.275,-1.935006551,4.532487861,-1.59022167,-6.263382747,2.4002681,-14.35078338,7.154271353,7.621998814,-17.44968392,14.51715889,2.622560416,-25.68137736,-0.745040964,-4.059263132,-29.509197
5.2,3.12,8.166982432,9.7,3.12,32.41569374,-32.3,24.12,-3.957373221,-32.3,-17.88,-3.957373221,-32.3,-1.846154554,4.67435487,-1.670451713,-6.161831289,2.548654726,-14.42644735,7.305908959,7.662423337,-17.67472775,14.68663249,2.86503782,-26.02957945,-0.578938598,-3.978904785,-29.76292865
5.3,3.18,8.323993938,9.675,3.18,32.57270524,-32.325,24.18,-3.800361715,-32.325,-17.82,-3.800361715,-32.325,-1.744468729,4.821129212,-1.749107009,-6.056128138,2.715972282,-14.50481727,7.439746335,7.709185523,-17.88524852,14.85789859,3.091267216,-26.36359855,-0.41251919,-3.902664056,-30.01566907
5.4,3.24,8.481002825,9.65,3.24,32.72971413,-32.35,24.24,-3.643352828,-32.35,-17.76,-3.643352828,-32.35,-1.634101689,4.972284265,-1.823330034,-5.947359589,2.898461905,-14.58225106,7.555538995,7.763706241,-18.08143787,15.03414187,3.297642646,-26.67467797,-0.245150596,-3.82962145,-30.2683165
5.5,3.3,8.638009043,9.625,3.3,32.88672035,-32.375,24.3,-3.48634661,-32.375,-17.7,-3.48634661,-32.375,-1.519198556,5.127436664,-1.890329042,-5.836400062,3.091702451,-14.6537865,7.653748061,7.826633776,-18.26235862,15.21450922,3.484236123,-26.96202726,-0.075681245,-3.758992028,-30.52214866
5.6,3.36,8.795012542,9.6,3.36,33.04372385,-32.4,24.36,-3.329343111,-32.4,-17.64,-3.329343111,-32.4,-1.402564022,5.286773094,-1.948557799,-5.723927334,3.29145336,-14.71605073,7.734566418,7.898315317,-18.42720967,15.39454606,3.657956133,-27.22564641,0.095512412,-3.689719704,-30.7771297
5.7,3.42,8.952013273,9.575,3.42,33.20072458,-32.425,24.42,-3.17234238,-32.425,-17.58,-3.17234238,-32.425,-1.285723575,5.451025223,-1.997312755,-5.610245229,3.492166004,-14.76907691,7.797413762,7.979052425,-18.57599103,15.5740261,3.817827555,-27.46553543,0.267980846,-3.620699148,-31.03318354
5.8,3.48,9.109011187,9.55,3.48,33.35772249,-32.45,24.48,-3.015344466,-32.45,-17.52,-3.015344466,-32.45,-1.170684215,5.620669586,-2.037094861,-5.496773883,3.689407241,-14.81372189,7.841538772,8.068791703,-18.70870271,15.75304131,3.960428237,-27.68169431,0.428653048,-3.548501446,-31.27959987
5.9,3.54,9.266006234,9.525,3.54,33.51471754,-32.475,24.54,-2.858349419,-32.475,-17.46,-2.858349419,-32.475,-1.060112539,5.795709544,-2.070182084,-5.38447574,3.88290597,-14.84885696,7.866029376,8.167105934,-18.82534469,15.93006053,4.086804765,-27.87412306,0.573003038,-3.47161351,-31.50570229
6,3.6,9.422998365,9.5,3.6,33.67170967,-32.5,24.6,-2.701357288,-32.5,-17.4,-2.701357288,-32.5,-0.955995168,5.976269243,-2.100181492,-5.273483467,4.073779619,-14.87468571,7.869835444,8.273170499,-18.92591698,16.10341922,4.198626605,-28.04282167,0.703236089,-3.390044042,-31.70807929
6.1,3.66,9.57998753,9.475,3.66,33.82869884,-32.525,24.66,-2.544368123,-32.525,-17.34,-2.544368123,-32.525,-0.859459585,6.162786229,-2.130445694,-5.163853903,4.263193617,-14.89331351,7.851804862,8.385736315,-19.01041959,16.27138663,4.298215316,-28.18779015,0.818671016,-3.303561094,-31.88672616
6.2,3.72,9.73697368,9.45,3.72,33.98568499,-32.55,24.72,-2.387381973,-32.55,-17.28,-2.387381973,-32.55,-0.770696058,6.355335566,-2.163274279,-5.055741197,4.4518349,-14.90833492,7.810734001,8.503101125,-19.0788525,16.4325783,4.387906858,-28.30902849,0.918554805,-3.212227603,-32.04164289
6.3,3.78,9.893956766,9.425,3.78,34.14266807,-32.575,24.78,-2.230398887,-32.575,-17.22,-2.230398887,-32.575,-0.688846422,6.55294415,-2.199635803,-4.949178025,4.640155509,-14.92282829,7.745543233,8.623056056,-19.13131017,16.58593044,4.469941796,-28.4065367,1.002084022,-3.116419045,-32.1728295
6.4,3.84,10.05093674,9.4,3.84,34.29964804,-32.6,24.84,-2.073418915,-32.6,-17.16,-2.073418915,-32.6,-0.612187095,6.75348762,-2.239401101,-4.844145382,4.828323807,-14.93664395,7.663680631,8.741317658,-19.17509104,16.72978782,4.546584292,-28.48134127,1.068432684,-3.016840542,-32.28028596
6.5,3.9,10.20791355,9.375,3.9,34.45662485,-32.625,24.9,-1.916442107,-32.625,-17.1,-1.916442107,-32.625,-0.538363742,6.954555526,-2.281640207,-4.740594836,5.01628714,-14.94859077,7.582591216,8.853284679,-19.22570708,16.85659426,4.621379619,-28.54193039,1.116791021,-2.914542545,-32.36401229
6.6,3.96,10.36488714,9.35,3.96,34.61359845,-32.65,24.96,-1.75946851,-32.65,-17.04,-1.75946851,-32.65,-0.466620694,7.15504658,-2.325018291,-4.638252804,5.204227026,-14.95795746,7.51136421,8.958360936,-19.29094683,16.96145348,4.697783961,-28.59389524,1.146415471,-2.810933008,-32.42400849
6.7,4.02,10.52185748,9.325,4.02,34.77056878,-32.675,25.02,-1.602498176,-32.675,-16.98,-1.602498176,-32.675,-0.396615086,7.353549764,-2.368090158,-4.53641127,5.393161112,-14.9649112,7.452912412,9.058052088,-19.37276235,17.04398984,4.778085107,-28.6374498,1.156689941,-2.707783469,-32.46027455
6.8,4.08,10.6788245,9.3,4.08,34.92753581,-32.7,25.08,-1.445531154,-32.7,-16.92,-1.445531154,-32.7,-0.327045079,7.549789381,-2.409606941,-4.43487405,5.583027245,-14.96929639,7.408364106,9.15479526,-19.47063543,17.10404947,4.86406538,-28.67254762,1.147197948,-2.607225999,-32.47281048
6.9,4.14,10.83578816,9.275,4.14,35.08449947,-32.725,25.14,-1.288567492,-32.725,-16.86,-1.288567492,-32.725,-0.256955041,7.743182432,-2.44867703,-4.33395975,5.772721654,-14.97083284,7.381127482,9.251858111,-19.58081287,17.14143803,4.957041281,-28.69925431,1.118777076,-2.511385147,-32.46239564
7,4.2,10.99274841,9.25,4.2,35.24145972,-32.75,25.2,-1.13160724,-32.75,-16.8,-1.13160724,-32.75,-0.185312822,7.93352333,-2.485249288,-4.234136851,5.960978151,-14.96945488,7.374853305,9.353299289,-19.69794838,17.15574176,5.057905853,-28.71799964,1.086293235,-2.416478522,-32.44203288
7.1,4.26,11.1497052,9.225,4.26,35.39841651,-32.775,25.26,-0.974650449,-32.775,-16.74,-0.974650449,-32.775,-0.111032195,8.120998815,-2.51944524,-4.13592232,6.147055356,-14.96534432,7.390094621,9.463091184,-19.81964621,17.1464647,5.167075538,-28.72938144,1.065814099,-2.314365726,-32.426893
7.2,4.32,11.30665849,9.2,4.32,35.55536979,-32.8,25.32,-0.817697166,-32.8,-16.68,-0.817697166,-32.8,-0.032779713,8.306543162,-2.551480657,-4.039777336,6.331047424,-14.95882516,7.424958937,9.584455561,-19.94269246,17.11618934,5.283397973,-28.72964555,1.059119526,-2.200726442,-32.41995858
7.3,4.38,11.46360821,9.175,4.38,35.71231952,-32.825,25.38,-0.660747441,-32.825,-16.62,-0.660747441,-32.825,0.049831319,8.489285066,-2.581322606,-3.946026279,6.511144788,-14.95057214,7.468263825,9.715896134,-20.05833134,17.06747065,5.405330908,-28.71535494,1.064263118,-2.072816054,-32.42070329
7.4,4.44,11.62055433,9.15,4.44,35.86926563,-32.85,25.44,-0.503801325,-32.85,-16.56,-0.503801325,-32.85,0.13749948,8.669134798,-2.609334089,-3.854754893,6.686542051,-14.94204557,7.511786036,9.855069213,-20.16066894,17.0086473,5.529246174,-28.69210736,1.079077774,-1.928098417,-32.42818925
7.5,4.5,11.77749679,9.125,4.5,36.02620809,-32.875,25.5,-0.346858865,-32.875,-16.5,-0.346858865,-32.875,0.227590282,8.846961596,-2.636594237,-3.765803453,6.857373432,-14.93484534,7.551916239,10.00059965,-20.24725,16.95701381,5.649099134,-28.66890392,1.101215754,-1.764262708,-32.44108787
7.6,4.56,11.93443554,9.1,4.56,36.18314685,-32.9,25.56,-0.189920112,-32.9,-16.44,-0.189920112,-32.9,0.315996408,9.023570342,-2.664408327,-3.678940334,7.024165496,-14.93040762,7.586830602,10.15155065,-20.32019214,16.9219187,5.762309872,-28.64964753,1.128160939,-1.579258562,-32.45767335
7.7,4.62,12.09137054,9.075,4.62,36.34008184,-32.925,25.62,-0.032985115,-32.925,-16.38,-0.032985115,-32.925,0.402240823,9.199686837,-2.693952784,-3.592530595,7.188084506,-14.92967264,7.616533801,10.30812042,-20.38585898,16.90586052,5.869037758,-28.63750093,1.157113653,-1.371520491,-32.47614455
7.8,4.68,12.24830173,9.05,4.68,36.49701303,-32.95,25.68,0.123946076,-32.95,-16.32,0.123946076,-32.95,0.485660956,9.375997773,-2.726338063,-3.506039901,7.350804156,-14.93333888,7.64131995,10.47087936,-20.44838321,16.90834162,5.970625968,-28.63359493,1.184611061,-1.141009095,-32.4964458
7.9,4.74,12.40522907,9.025,4.74,36.65394037,-32.975,25.74,0.280873413,-32.975,-16.26,0.280873413,-32.975,0.565513737,9.55290309,-2.762176378,-3.420005792,7.513915408,-14.9420921,7.661219367,10.64040442,-20.51117262,16.92555852,6.069192098,-28.6365516,1.208321908,-0.888246266,-32.51861153
8,4.8,12.5621525,9,4.8,36.8108638,-33,25.8,0.437796845,-33,-16.2,0.437796845,-33,0.642203086,9.730465956,-2.800529841,-3.334454232,7.678741274,-14.9565022,7.676282237,10.8175376,-20.57595167,16.95213656,6.166810072,-28.64407443,1.226984181,-0.613811858,-32.54213137
