time,AUV5_Error,AUV6_Error,AUV7_Error,AUV8_Error,AUV9_Error
254.9,0.005749827,0.005939575,0.005346608,0.005025906,0.004910333
255,0.00552246,0.005723445,0.0050902,0.004744287,0.004661057
255.1,0.005344631,0.005572816,0.004915028,0.004587565,0.004587589
255.2,0.005249481,0.005481867,0.00485818,0.004602797,0.004690452
255.3,0.005261579,0.00546388,0.00494714,0.004804739,0.004955388
255.4,0.005394864,0.005562408,0.005189774,0.005121428,0.005320277
255.5,0.005681179,0.005830074,0.005592555,0.005359824,0.005318147
255.6,0.005400493,0.00558536,0.005339547,0.005251557,0.005545067
255.7,0.004550555,0.004853632,0.004345347,0.005379411,0.006291375
255.8,0.005320263,0.00562633,0.005060216,0.006709144,0.00757153
255.9,0.007120482,0.007364707,0.006942822,0.007981416,0.008414941
256,0.008326896,0.008536393,0.008273913,0.008315598,0.008291252
256.1,0.008356222,0.008565634,0.008408848,0.007542343,0.007171395
256.2,0.007346792,0.007589986,0.007427773,0.005961583,0.005449609
256.3,0.005812432,0.006116326,0.00581218,0.004191472,0.003766857
256.4,0.004455342,0.00481999,0.004256843,0.003015753,0.002901002
256.5,0.003870408,0.004246165,0.003457694,0.002972656,0.003085401
256.6,0.004005498,0.004343997,0.003529968,0.003462079,0.003530323
256.7,0.004293247,0.004612587,0.003844042,0.003735078,0.003668271
256.8,0.004338594,0.004686134,0.003913352,0.003603155,0.003428119
256.9,0.004113617,0.004526631,0.003688935,0.00320139,0.002993214
257,0.003841726,0.004336376,0.003411079,0.00283633,0.00261602
257.1,0.003700348,0.004259263,0.003295829,0.002728105,0.00248631
257.2,0.003726355,0.004316727,0.003375935,0.002844732,0.00259465
257.3,0.003866555,0.004440355,0.00354563,0.003060605,0.002823987
257.4,0.003985433,0.004512794,0.003667607,0.003203699,0.002975788
257.5,0.004015455,0.004495595,0.003693914,0.003167568,0.002249645
257.6,0.003537789,0.004031361,0.003182575,0.003403117,0.003014208
257.7,0.002910563,0.003398559,0.002389166,0.004418067,0.004970079
257.8,0.003727293,0.004027497,0.003250365,0.005686187,0.006360511
257.9,0.005308825,0.0054811,0.004933452,0.006367367,0.00674876
258,0.006330057,0.006463655,0.005992291,0.006231821,0.006202764
258.1,0.006433947,0.0065708,0.006096792,0.00539909,0.005026508
258.2,0.00574756,0.005918665,0.005374034,0.004184615,0.003681622
258.3,0.004656143,0.004902922,0.004195968,0.00303258,0.002630691
258.4,0.003720865,0.0040894,0.003122662,0.002354158,0.00211585
258.5,0.003366957,0.00386444,0.002668582,0.002209523,0.002016898
258.6,0.003498471,0.004062072,0.002815523,0.002280087,0.001979637
258.7,0.00375627,0.004353652,0.00312362,0.002279711,0.001827439
258.8,0.003893807,0.004565628,0.00329072,0.002143686,0.001573243
258.9,0.003860772,0.004658092,0.003257394,0.001916422,0.001362381
259,0.003780547,0.004687059,0.003154942,0.001697511,0.001348593
259.1,0.00372786,0.004675289,0.003079499,0.001632471,0.001629035
259.2,0.003674855,0.004640125,0.003019716,0.001858754,0.002148089
259.3,0.00364949,0.004620115,0.003011631,0.002384684,0.002812569
259.4,0.003751731,0.004655793,0.00315237,0.003017976,0.003438502
259.5,0.004034384,0.004797535,0.003482997,0.003440328,0.003204969
259.6,0.003986518,0.004638419,0.00341764,0.003932099,0.00393119
259.7,0.003814376,0.004301981,0.003184712,0.004906954,0.00562101
259.8,0.004676621,0.004942029,0.004178994,0.006084168,0.00689475
259.9,0.006103396,0.006248773,0.005729995,0.006743905,0.007259108
260,0.007062696,0.007174392,0.006731021,0.006651557,0.006773804
260.1,0.007217223,0.007356423,0.006877694,0.005953685,0.005800152
260.2,0.006707224,0.006924183,0.006323949,0.005020501,0.004866347
260.3,0.005893,0.006232219,0.00544911,0.004358532,0.004464756
260.4,0.004916134,0.005392478,0.00440539,0.003785236,0.004073627
260.5,0.003563582,0.004139974,0.002957045,0.002320002,0.002521554
260.6,0.003550434,0.004015865,0.003087186,0.002187414,0.001997638
260.7,0.004730367,0.005040791,0.004464899,0.003552149,0.003288003
260.8,0.005796657,0.006064508,0.005616235,0.004716303,0.004520862
260.9,0.006286881,0.006567987,0.006140344,0.005279916,0.005146522
261,0.006177288,0.006487359,0.006034258,0.005190067,0.005097704
261.1,0.005528391,0.005836602,0.005351745,0.00443053,0.004340587
261.2,0.004195725,0.004563018,0.003911287,0.00293125,0.002643421
261.3,0.003857534,0.004312156,0.00347336,0.002964496,0.002497615
261.4,0.004937579,0.005384359,0.004591669,0.004558883,0.004225617
261.5,0.006131888,0.006559198,0.005829777,0.00582945,0.005275068
261.6,0.00647662,0.006914569,0.006185301,0.006464791,0.00625956
261.7,0.006043115,0.006459126,0.005731513,0.006874135,0.007345031
261.8,0.005827669,0.006169508,0.005532011,0.007268438,0.007961473
261.9,0.006300175,0.006558459,0.006049791,0.00728295,0.007755845
262,0.006803291,0.007020517,0.006580831,0.006682112,0.006750768
262.1,0.006704902,0.006922017,0.00647518,0.005491428,0.005183501
262.2,0.005888711,0.006145085,0.005619399,0.003931467,0.003426959
262.3,0.004619058,0.004968452,0.004259053,0.002438048,0.00199279
262.4,0.003455811,0.003975353,0.002927524,0.001768384,0.001715778
262.5,0.003094484,0.003764368,0.002434504,0.002264085,0.002328008
262.6,0.003488127,0.004174119,0.002881093,0.00291728,0.002820539
262.7,0.00399676,0.004642672,0.003463622,0.003231672,0.002958914
262.8,0.004233061,0.004843516,0.003728851,0.003207897,0.002828014
262.9,0.00417829,0.004768014,0.003664143,0.002964245,0.002554394
263,0.003960945,0.004558955,0.003410774,0.002612042,0.002241524
263.1,0.003697531,0.004320802,0.003107209,0.002306439,0.001993754
263.2,0.003441225,0.004086467,0.002832015,0.002197579,0.001933672
263.3,0.003269787,0.003918423,0.00267818,0.002387163,0.002162279
263.4,0.003281654,0.003906985,0.002744697,0.002739017,0.002568621
263.5,0.003556873,0.004127345,0.003091537,0.002756119,0.002000562
263.6,0.003555868,0.004128893,0.003095394,0.003080338,0.00311106
263.7,0.00335805,0.003919803,0.002849159,0.004256203,0.005171348
263.8,0.00422651,0.004639485,0.003846028,0.005684541,0.006605196
263.9,0.005704768,0.005990198,0.005432008,0.00650911,0.007033855
264,0.006692998,0.006927694,0.006451864,0.006508506,0.006554126
264.1,0.006864589,0.00709975,0.006608556,0.005839337,0.005540305
264.2,0.006361795,0.006641271,0.006061351,0.004899112,0.004507196
264.3,0.005508683,0.005868065,0.005144738,0.004096624,0.00389505
264.4,0.003925827,0.004465056,0.003443262,0.002460356,0.002430268
264.5,0.003061152,0.003689286,0.002517988,0.001475411,0.001316469
264.6,0.004072161,0.004484818,0.003740313,0.003055625,0.002717893
264.7,0.005413438,0.005678273,0.005192564,0.004561197,0.004166092
264.8,0.006217531,0.006432457,0.006036954,0.005410249,0.005000567
264.9,0.006331808,0.006541439,0.006166784,0.005573001,0.005170746
265,0.005841902,0.00607152,0.005671718,0.005082209,0.004681423
265.1,0.004667982,0.004965297,0.004448152,0.003860003,0.003393763
265.2,0.00332929,0.003725506,0.002973888,0.002621999,0.00204087
265.3,0.00376167,0.004091275,0.003396271,0.003535621,0.003261813
265.4,0.005104157,0.005326917,0.004806446,0.005093782,0.00498409
265.5,0.006111268,0.006286038,0.00585278,0.006031177,0.005644504
265.6,0.006124148,0.006298444,0.005877952,0.006365609,0.006187593
265.7,0.00541038,0.005607979,0.005145954,0.006601977,0.006986944
265.8,0.005161147,0.005392228,0.004911973,0.006947133,0.007476017
265.9,0.005842283,0.006083434,0.00563403,0.007009359,0.007259373
266,0.006492608,0.006733784,0.00630093,0.006503561,0.006296769
266.1,0.006439904,0.006693184,0.006232239,0.005409505,0.004802797
266.2,0.005621763,0.005898976,0.00536933,0.003971959,0.003142954
266.3,0.004380651,0.004713784,0.004046567,0.002650302,0.001971899
266.4,0.003285289,0.003718628,0.00282484,0.002205801,0.002100508
266.5,0.003013363,0.00350954,0.002503747,0.002728451,0.002816855
266.6,0.003456762,0.003925491,0.00303307,0.003349054,0.003286337
266.7,0.003896419,0.004356241,0.003546923,0.003621664,0.003327745
266.8,0.003996058,0.00446584,0.003676156,0.003514962,0.003041273
266.9,0.00378436,0.004262014,0.003455371,0.003155185,0.002585864
267,0.003409462,0.003911692,0.003034379,0.002687832,0.002098246
267.1,0.003039624,0.003567036,0.002603218,0.002319417,0.001767723
267.2,0.002797344,0.003321115,0.00232256,0.002221941,0.001782023
267.3,0.002766158,0.003257499,0.002305272,0.002471076,0.00220134
267.4,0.003035144,0.003468314,0.002633596,0.002953228,0.002859887
267.5,0.003593248,0.003970769,0.003252065,0.003486168,0.002978838
267.6,0.003879091,0.004253176,0.003541674,0.004253814,0.004220397
267.7,0.003793851,0.004163458,0.00343978,0.005218981,0.005865439
267.8,0.004107257,0.004454363,0.003834845,0.006092739,0.006713714
267.9,0.005828461,0.00609349,0.005669031,0.007094103,0.007230638
268,0.007411892,0.007641024,0.007290552,0.007707403,0.007331133
268.1,0.008001808,0.008247224,0.007869265,0.007579865,0.006896984
268.2,0.007356581,0.00764983,0.007182259,0.00659808,0.005834136
268.3,0.005565459,0.00588918,0.005312855,0.004776881,0.00404497
268.4,0.004192767,0.004471783,0.003859052,0.003695228,0.003210216
268.5,0.004481695,0.004616035,0.00418936,0.004306027,0.00412765
268.6,0.00552724,0.005580475,0.005297216,0.005356559,0.005265016
268.7,0.006227264,0.006281006,0.006011508,0.00591064,0.005796848
268.8,0.006197168,0.006294006,0.005966631,0.005774476,0.005591123
268.9,0.005464474,0.005634375,0.005198581,0.005047489,0.004760225
269,0.004318467,0.004595917,0.003988766,0.003951871,0.003562949
269.1,0.003192822,0.003612334,0.002753562,0.002853384,0.002349544
269.2,0.002536289,0.003092963,0.001966324,0.00215053,0.001505471
269.3,0.002524718,0.003126638,0.001921235,0.002035034,0.001435083
269.4,0.002791637,0.003378054,0.002228628,0.002222313,0.001774437
269.5,0.00309575,0.003645972,0.002582618,0.002358242,0.000974994
269.6,0.002907541,0.003475453,0.00235624,0.002969126,0.002664181
269.7,0.002739859,0.00328245,0.002145783,0.004337662,0.004964938
269.8,0.00395666,0.004318841,0.00359219,0.005762202,0.006483051
269.9,0.005645359,0.005875709,0.005402875,0.006547613,0.006975665
270,0.006718788,0.006880203,0.006513497,0.006535353,0.00656923
270.1,0.006915404,0.007041973,0.006706944,0.005898213,0.005613219
270.2,0.006376453,0.006499837,0.006143006,0.005011071,0.004609
270.3,0.005502333,0.005660734,0.005230099,0.004300601,0.003984714
270.4,0.004813734,0.00504326,0.004494868,0.003956307,0.003807829
270.5,0.004624996,0.004925182,0.004287229,0.003890785,0.003802244
270.6,0.004784961,0.005123568,0.004464583,0.003900423,0.003740692
270.7,0.004058805,0.004496125,0.003696277,0.003102083,0.002679027
270.8,0.003401005,0.003917905,0.002987229,0.003217746,0.002552005
270.9,0.003987861,0.00442632,0.003647111,0.004608059,0.004035112
271,0.004598597,0.004969012,0.004296592,0.00551811,0.005009492
271.1,0.005247917,0.005566601,0.0049776,0.006161799,0.005681842
271.2,0.006049437,0.006340346,0.005814712,0.006735714,0.006277953
271.3,0.006450607,0.006741311,0.00623624,0.006880789,0.006457284
271.4,0.006365179,0.006653541,0.00615392,0.006587223,0.006236914
271.5,0.006024651,0.006309829,0.005796371,0.006008676,0.005457321
271.6,0.005302152,0.005606711,0.005026652,0.005510443,0.005283154
271.7,0.004373901,0.004718133,0.004021589,0.005590487,0.006102449
271.8,0.004461988,0.00479271,0.004143482,0.006215681,0.006905528
271.9,0.005521752,0.005789718,0.005292626,0.006625417,0.007015581
272,0.006356734,0.006589939,0.006168406,0.00638001,0.006304645
272.1,0.006414635,0.00665479,0.006225149,0.005458272,0.00496114
272.2,0.005696312,0.005972484,0.005474515,0.004109393,0.00331203
272.3,0.004491489,0.004831293,0.004209641,0.002690761,0.001722562
272.4,0.003278779,0.003709733,0.002900654,0.001749648,0.000683138
272.5,0.002720581,0.003208178,0.00227643,0.001745195,0.000994929
272.6,0.003054919,0.003503278,0.00266784,0.002122461,0.001412587
272.7,0.003716167,0.004139013,0.003379811,0.00233292,0.00154579
272.8,0.004162313,0.00464563,0.003839679,0.002354012,0.00156606
272.9,0.004278936,0.004868849,0.003952521,0.002331251,0.001640784
273,0.004183908,0.004829096,0.003847407,0.002387291,0.001869098
273.1,0.004036835,0.004668074,0.003685527,0.00255239,0.002255514
273.2,0.004003218,0.004555395,0.003633854,0.002793804,0.002761169
273.3,0.003821029,0.004280786,0.003410586,0.002934443,0.002969609
273.4,0.003823899,0.004136153,0.00341518,0.003638774,0.00302114
273.5,0.004598199,0.004823925,0.004276501,0.004923544,0.00317734
273.6,0.005251463,0.005507021,0.004987195,0.006337831,0.004874236
273.7,0.006211439,0.006455654,0.006000762,0.008117944,0.007447169
273.8,0.007524057,0.007724071,0.007375137,0.009501452,0.009135087
273.9,0.008549521,0.008712437,0.008430677,0.009789724,0.009409916
274,0.008750931,0.008893953,0.008636012,0.008984088,0.008453862
274.1,0.008106026,0.008255759,0.007974093,0.007381483,0.00670526
274.2,0.006842978,0.007039148,0.00667027,0.005377724,0.004694793
274.3,0.005338894,0.005643054,0.005094136,0.003475535,0.003070975
274.4,0.004116069,0.004578988,0.003761951,0.002272236,0.002470398
274.5,0.003541456,0.004120696,0.003099335,0.002114497,0.002616222
274.6,0.003441213,0.004030043,0.002982164,0.002321439,0.002642689
274.7,0.003358855,0.003921989,0.002898961,0.002359477,0.002305652
274.8,0.003187752,0.003744616,0.002705742,0.002241623,0.001791803
274.9,0.003021882,0.003600284,0.00249697,0.002107983,0.001381857
275,0.002966638,0.003568637,0.002396906,0.002018063,0.001243362
275.1,0.002975387,0.003577686,0.002382236,0.001974862,0.001307903
275.2,0.003002694,0.003587751,0.00241147,0.001939402,0.001497833
275.3,0.00311813,0.003678389,0.002561476,0.002109621,0.001990014
275.4,0.003469163,0.003998597,0.002984258,0.002603628,0.002771519
275.5,0.004120689,0.004612664,0.003715952,0.003210817,0.002926551
275.6,0.004440267,0.004959602,0.004064577,0.0039782,0.004138745
